ref_vol,aero_linked,jour_vol,time_en_air,sensor_data,etat_voyant
V06818877,B747_5273,2024-06-04,3.6,"{'temp': '-7.8°C', 'pressure': '922.1 hPa', 'vibrations': '4.104994330228386 m/s²'}",0
V05110639,A350_4789,2024-06-04,4.0,"{'temp': '9.2°C', 'pressure': '930.7 hPa', 'vibrations': '1.2818474044562267 m/s²'}",0
V03006727,B767_5501,2024-06-04,7.2,"{'temp': '-0.5°C', 'pressure': '931.6 hPa', 'vibrations': '4.820147563624561 m/s²'}",0
V05029166,A350_4039,2024-06-04,4.8,"{'temp': '-4.4°C', 'pressure': '973.2 hPa', 'vibrations': '0.3435789531196476 m/s²'}",0
V00849891,A320_2497,2024-06-04,7.3,"{'temp': '2.9°C', 'pressure': '974.9 hPa', 'vibrations': '4.104927536132722 m/s²'}",0
V02049680,E175_5586,2024-06-04,4.6,"{'temp': '10.1°C', 'pressure': '991.1 hPa', 'vibrations': '4.417740108840112 m/s²'}",0
V06981411,CRJ700_2863,2024-06-04,5.0,"{'temp': '10.1°C', 'pressure': '889.6 hPa', 'vibrations': '1.2324548620068905 m/s²'}",0
V02068934,A340_6933,2024-06-04,5.8,"{'temp': '0.4°C', 'pressure': '906.7 hPa', 'vibrations': '2.6614543487735505 m/s²'}",0
V03315272,B747_5923,2024-06-04,3.8,"{'temp': '-7.1°C', 'pressure': '937.3 hPa', 'vibrations': '3.962487449456054 m/s²'}",0
V06768236,B747_1988,2024-06-04,3.3,"{'temp': '-2.8°C', 'pressure': '894.5 hPa', 'vibrations': '2.140715850277916 m/s²'}",0
V06431541,A340_3962,2024-06-04,5.0,"{'temp': '-7.2°C', 'pressure': '899.8 hPa', 'vibrations': '4.804369291130363 m/s²'}",0
V09985804,CRJ700_4386,2024-06-04,4.6,"{'temp': '4.1°C', 'pressure': '942.4 hPa', 'vibrations': '1.7199636957457303 m/s²'}",0
V06301893,A380_2017,2024-06-04,3.8,"{'temp': '-1.6°C', 'pressure': '982.2 hPa', 'vibrations': '4.849569660535195 m/s²'}",0
V04938486,A320_6678,2024-06-04,2.0,"{'temp': '13.9°C', 'pressure': '890.3 hPa', 'vibrations': '1.9978278136993106 m/s²'}",0
V06106198,B757_4595,2024-06-04,3.7,"{'temp': '-20.9°C', 'pressure': '905.9 hPa', 'vibrations': '2.970310464767832 m/s²'}",1
